Study,IG_n,IG_Mean_post,IG_SD_post,IG_Mean_pre,IG_SD_pre,CG_n,CG_Mean_post,CG_SD_post,CG_Mean_pre,CG_SD_pre,Hedges_g,SE
Palma-Munoz 2018,7,32.40,9.10,28.40,9.10,7,28.50,9.10,27.80,9.10,0.4383,0.5072
Chang 2025,11,30.00,5.00,28.00,4.00,12,28.00,4.00,27.00,5.00,0.2673,0.4043
Blazevich 2003,7,41.00,11.00,38.00,16.00,8,41.00,11.00,39.00,11.00,0.0944,0.4874
Byrne 2010,6,39.00,2.00,35.00,5.00,7,33.00,3.00,34.00,2.00,1.5229,0.5975
Sedano Campo 2009,10,29.30,1.00,25.60,1.00,10,25.90,0.90,26.20,0.90,5.1989,0.9269
Jlid 2019,14,33.30,2.40,30.30,2.10,14,30.60,2.50,30.50,2.30,1.5494,0.4213
Jlid 2020,14,32.19,4.69,30.45,4.49,13,30.64,3.34,29.82,3.45,0.2833,0.3755
Khlifa 2010,9,47.20,3.21,44.10,3.66,9,46.02,4.59,45.20,3.75,0.7182,0.4646
Laurent 2020,11,38.40,7.90,32.90,7.60,10,28.20,7.50,27.80,7.50,0.8276,0.4385
Michailidis 2018,17,22.19,0.80,21.73,0.80,14,21.56,0.80,22.04,0.80,1.4773,0.3984
Potdevin 2011,12,32.45,4.20,28.92,4.82,11,25.88,3.82,27.04,4.51,1.3209,0.4470
Ramirez-Campillo 2018,12,42.00,4.90,37.90,5.10,12,40.00,4.30,40.20,4.30,1.1487,0.4276
Santos 2011,14,34.52,5.00,30.33,4.30,10,28.40,4.00,30.76,5.10,1.7267,0.4711
Toumi 2004,12,42.50,1.30,37.30,1.90,6,34.70,2.10,33.90,1.90,2.9433,0.6837
Vescovi 2008,10,33.40,3.50,32.40,3.50,8,31.00,1.00,31.20,1.00,0.5450,0.4608
Yanci 2017,12,35.70,5.30,36.00,4.80,12,34.00,4.50,35.20,4.60,0.2325,0.3956
