"Study_Removed","g","CI_Lower","CI_Upper","I2_pct"
"Palma-Munoz 2018",0.488,-0.403,1.378,92.8
"Chang 2025",0.546,-0.338,1.429,92.4
"Blazevich 2003",0.566,-0.309,1.441,92.5
"Byrne 2010",0.42,-0.459,1.3,92.7
"Sedano Campo 2009",0.118,-0.389,0.625,77.1
"Jlid 2019",0.488,-0.405,1.381,92.5
"Jlid 2020",0.569,-0.305,1.444,92.3
"Khlifa 2010",0.546,-0.335,1.428,92.6
"Laurent 2020",0.538,-0.345,1.421,92.7
"Potdevin 2011",0.504,-0.385,1.393,92.8
"Ramirez-Campillo 2018",0.517,-0.372,1.407,92.6
"Toumi 2004",0.314,-0.502,1.13,91.5
"Santos 2011",0.475,-0.416,1.366,92.7
"Vescovi 2008",0.56,-0.319,1.439,92.4
"Yanci 2017",0.585,-0.282,1.452,92.2
