论文代号,序号,第一作者,年份,原文件名,PMID,来源表,备注
P01,1,Cleary CJ,2025,1-s2.0-S1728869X24000674-main.pdf,39691831,3-无训练信号,
P02,2,Ramirez-Campillo R,2015,10.1519@jsc.0000000000000283.pdf,24149761,2-第4关不确定,
P03,3,Ramirez-Campillo R,2015,10.1519@jsc.0000000000000762.pdf,25474338,0-第4关推测,
P04,4,Ramirez-Campillo R,2015,10.1519@jsc.0000000000000836.pdf,25559905,2-第4关不确定,
P05,5,Palma-Munoz I,2021,10.1519@jsc.0000000000002950.pdf,34027922,0-第4关推测,
P06,6,Ramirez-Campillo R,2014,10.1519@jsc.0b013e3182a1f44c.pdf,23838975,0-第4关推测,
P07,7,Voisin MPJ,2019,Effect of Plyometric Training with Raised Forefoot Platforms.pdf,30899356,1-第5关数据,
P08,8,Mueller S,2017,PMID28522976.pdf,28522976,3-无训练信号,
P09,9,Van Roie E,2020,PMID32841300.pdf,32841300,3-无训练信号,
P10,10,Fernandez-Fernandez J,2020,PMID33180872.pdf,33180872,3-无训练信号,
P11,11,Chottidao M,2022,PMID35685089.pdf,35685089,2-第4关不确定,
P12,12,Chang CH,2025,PMID40595375.pdf,40595375,2-第4关不确定,
P13,13,Zemkova E,2025,PMID40847430.pdf,40847430,3-无训练信号,
P14,14,,2025,Physiological Reports - 2025 - Fujimori - Mechanical properties of the gastrocnemius muscle‐tendon unit in male athletic.pdf,,,
P15,15,Video M,,Sex-Based_Differences_in_the_Drop_Vertical_Jump_as_Revealed_by_Video_Motion_Capture_Analysis_Using_Artificial_Intelligence.pdf,,,
P16,16,Al Haddad H,2015,alhaddad2015.pdf,25671843,3-无训练信号,
P17,17,Andrade DC,2020,andrade2020.pdf,28820857,3-无训练信号,
P18,18,Asadi A,2017,asadi2017.pdf,27735886,2-第4关不确定,
P19,19,Blanco P,2021,blanco2021.pdf,31498221,3-无训练信号,
P20,20,Blazevich AJ,2003,blazevich2003.pdf,14652496,3-无训练信号,
P21,21,Byrne PJ,2010,byrne2010.pdf,20634738,1-第5关数据,
P22,22,Sedano Campo S,2009,campo2009.pdf,19675492,0-第4关推测,
P23,23,Carlson K,2009,carlson2009.pdf,19479627,1-第5关数据,
P24,24,Cesar GM,2016,cesar2016.pdf,27240279,3-无训练信号,
P25,25,Chaabene H,2017,chaabene2017.pdf,28182510,0-第4关推测,
P26,26,Chelly MS,2010,chelly2010.pdf,20844458,1-第5关数据,
P27,27,Cooke K,2019,cooke2019.pdf,30204506,3-无训练信号,
P28,28,,2021,es-30-2-167.pdf,,,
P29,29,Chottidao M,2022,fbioe-10-878527.pdf,35685089,2-第4关不确定,
P30,30,Fidai MS,2020,fidai2020.pdf,31864579,3-无训练信号,
P31,31,Fernandez-Fernandez J,2020,file.pdf,33180872,3-无训练信号,
P32,32,Ford HT,1983,ford1983.pdf,6877979,0-第4关推测,
P33,33,Fowler NE,1994,fowler1994.pdf,8112268,3-无训练信号,
P34,34,Gherghel A,2021,gherghel2021.pdf,34360523,3-无训练信号,
P35,35,Granacher U,2015,granacher2015.pdf,25665004,0-第4关推测,
P36,36,Hassani A,2022,hassani2022.pdf,35635987,1-第5关数据,
P37,37,Hiscock DJ,2018,hiscock2017.pdf,28282743,3-无训练信号,
P38,38,Hovey S,2021,hovey2019.pdf,30882276,1-第5关数据,
P39,39,Idrizovic K,2018,idrizovic2018.pdf,29478378,2-第4关不确定,
P40,40,Jeffreys MA,2019,jeffreys2019.pdf,28368956,2-第4关不确定,
P41,41,Janikov MT,2023,jfmk-08-00061.pdf,37218857,1-第5关数据,
P42,42,Jlid MC,2019,jlid2019.pdf,31920686,1-第5关数据,
P43,43,Jlid MC,2020,jlid2020.pdf,32431621,1-第5关数据,
P44,44,Iranpour AR,2025,journal.pone.0316477.pdf,40014606,1-第5关数据,
P45,45,Khlifa R,2010,khlifa2010 (1).pdf,20938357,1-第5关数据,
P46,46,Khlifa R,2010,khlifa2010.pdf,20938357,1-第5关数据,
P47,47,Kijowksi KN,2015,kijowksi2015.pdf,26203736,2-第4关不确定,
P48,48,King JA,2010,king2010.pdf,20634744,1-第5关数据,
P49,49,Kubo K,2007,kubo2006.pdf,17106717,3-无训练信号,
P50,50,Kuntze G,2021,kuntze2021.pdf,32293101,3-无训练信号,
P51,51,Laurent C,2020,laurent2020.pdf,32271290,1-第5关数据,
P52,52,Liu C,2013,liu2013.pdf,22890495,1-第5关数据,
P53,53,Loturco I,2015,loturco2015.pdf,25807028,2-第4关不确定,
